start,end
0.7999999999999999,1.7999999999999998
3.600000000000002,5.6
16.99999999999997,18.59999999999998
42.80000000000034,45.20000000000036
56.80000000000054,57.80000000000054
77.19999999999989,78.79999999999986
93.99999999999893,95.6999999999989
98.29999999999869,100.19999999999864
111.99999999999791,112.99999999999791
114.39999999999777,115.89999999999775
116.09999999999768,117.39999999999766
122.19999999999733,124.39999999999726
129.29999999999694,130.29999999999694
131.39999999999682,132.49999999999682
137.1999999999965,139.39999999999642
143.59999999999613,144.69999999999612
149.3999999999958,150.5999999999958
152.6999999999956,154.29999999999558
157.29999999999535,160.49999999999523
163.299999999995,164.399999999995
164.79999999999492,166.69999999999487
178.69999999999413,180.3999999999941
180.79999999999401,181.79999999999401
189.5999999999935,190.6999999999935
194.19999999999325,195.29999999999325
198.599999999993,199.799999999993
207.89999999999247,209.59999999999243
211.89999999999225,212.99999999999224
221.99999999999167,225.19999999999155
225.59999999999147,226.79999999999146
230.2999999999912,231.4999999999912
234.29999999999097,238.59999999999079
264.09999999999155,265.2999999999916
266.69999999999214,267.79999999999217
268.89999999999264,269.89999999999264
270.69999999999305,271.7999999999931
273.0999999999936,275.899999999994
280.29999999999524,284.89999999999606
285.2999999999964,286.3999999999964
287.2999999999968,288.2999999999968
294.1999999999984,295.2999999999984
296.09999999999883,297.4999999999989
297.99999999999926,300.4999999999996
306.0000000000011,307.9000000000013
309.6000000000019,310.7000000000019
311.20000000000226,314.40000000000276
315.60000000000326,316.90000000000333
317.30000000000365,318.4000000000037
320.5000000000044,322.70000000000465
323.300000000005,326.70000000000556
340.70000000000897,343.30000000000933
347.4000000000105,348.70000000001056
357.80000000001286,359.70000000001306
374.50000000001666,375.6000000000167
382.1000000000184,389.20000000001977
397.1000000000218,399.100000000022
399.7000000000224,400.90000000002243
403.6000000000233,404.6000000000233
415.80000000002605,419.00000000002655
419.80000000002696,421.9000000000272
422.50000000002757,423.80000000002764
426.80000000002855,429.3000000000289
434.80000000003037,436.0000000000304
441.30000000003184,442.70000000003193
447.7000000000333,449.80000000003355
451.80000000003423,454.20000000003455
465.2000000000373,467.6000000000376
468.0000000000379,469.9000000000381
472.90000000003903,476.5000000000396
482.4000000000412,484.10000000004135
484.80000000004173,485.90000000004176
486.8000000000422,488.50000000004235
489.70000000004285,491.50000000004303
493.70000000004376,495.4000000000439
510.40000000004756,511.5000000000476
515.8000000000487,516.8000000000487
518.1000000000492,519.2000000000493
